Num,linear_max_v,linear_acceleration,linear_kp,linear_break_ratio,angular_max_v,angular_acceleration,angular_kp,angular_break_distance,xy_tolerance,theta_tolerance,time_adjustment
7,,,,,,,,,,0.08,
8,,,,,,,,,,0.08,
9,,,,,,,,,,0.08,
10,,,,,,,,,,0.08,
11,,,,,,,,,,0.08,
12,,,,,,,,,,0.08,
14,,,,,,,,,,,1.2
15,,,,,,,,,,,2.5
16,,,,,,,,,,0.08,
17,,,,,,,,,,0.08,
18,,,,,,,,,,0.08,
19,,,,,,,,,0.08,3.14,
